Indicator Name,Indicator Code,numCountries
"Employment in industry, female (% of female employment)",SL.IND.EMPL.FE.ZS,212
"Employment in industry, male (% of male employment)",SL.IND.EMPL.MA.ZS,212
Employment in services (% of total employment),SL.SRV.EMPL.ZS,220
"Employment in services, female (% of female employment)",SL.SRV.EMPL.FE.ZS,212
"Employment in services, male (% of male employment)",SL.SRV.EMPL.MA.ZS,212
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,219
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,210
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,219
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,210
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,219
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,226
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,219
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,145
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,219
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,145
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,219
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,147
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,186
Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,236
Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,250
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,218
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,210
"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,252
"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,251
"Enrolment in secondary general, both sexes (number)",SE.SEC.ENRL.GC,210
"Enrolment in secondary vocational, both sexes (number)",SE.SEC.ENRL.VO,207
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,177
Expenditure on education as % of total government expenditure (%),SE.XPD.TOTL.GB.ZS,225
Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,193
Expenditure on secondary as % of government expenditure on education (%),SE.XPD.SECO.ZS,196
Expenditure on tertiary as % of government expenditure on education (%),SE.XPD.TERT.ZS,213
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,185
Expense (current LCU),GC.XPN.TOTL.CN,153
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,203
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,203
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,174
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,240
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,215
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,234
Exports of goods and services (constant 2010 US$),NE.EXP.GNFS.KD,230
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,174
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,194
Exports of goods and services (current US$),NE.EXP.GNFS.CD,239
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,234
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,240
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,165
External balance on goods and services (current LCU),NE.RSB.GNFS.CN,194
External balance on goods and services (current US$),NE.RSB.GNFS.CD,193
"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS,130
External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,132
"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,132
"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,132
"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,132
"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,132
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,132
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,132
"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,132
"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,132
"External debt stocks, variable rate (DOD, current US$)",DT.DOD.VTOT.CD,132
External resources for health (% of total expenditure on health),SH.XPD.EXTR.ZS,218
Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,28
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,75
"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,137
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,254
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,132
Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,203
Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,219
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,168
Final consumption expenditure (current LCU),NE.CON.TOTL.CN,188
Final consumption expenditure (current US$),NE.CON.TOTL.CD,187
"Final consumption expenditure, etc. (% of GDP)",NE.CON.TETC.ZS,191
"Final consumption expenditure, etc. (annual % growth)",NE.CON.TETC.KD.ZG,211
"Final consumption expenditure, etc. (constant 2010 US$)",NE.CON.TETC.KD,221
"Final consumption expenditure, etc. (constant LCU)",NE.CON.TETC.KN,171
"Final consumption expenditure, etc. (current LCU)",NE.CON.TETC.CN,191
"Final consumption expenditure, etc. (current US$)",NE.CON.TETC.CD,233
Firms competing against unregistered firms (% of firms),IC.FRM.CMPU.ZS,180
Firms expected to give gifts in meetings with tax officials (% of firms),IC.TAX.GIFT.ZS,187
Firms formally registered when operations started (% of firms),IC.FRM.FREG.ZS,176
Firms offering formal training (% of firms),IC.FRM.TRNG.ZS,188
Firms that do not report all sales for tax purposes (% of firms),IC.FRM.INFM.ZS,147
Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,189
Firms using banks to finance working capital (% of firms),IC.FRM.BKWC.ZS,189
Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,187
Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,166
"Fish species, threatened",EN.FSH.THRD.NO,261
Fixed broadband subscriptions,IT.NET.BBND,252
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,252
Fixed telephone subscriptions,IT.MLT.MAIN,256
Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,256
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,239
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,240
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,248
"Food, beverages and tobacco (% of value added in manufacturing)",NV.MNF.FBTO.ZS.UN,146
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,193
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,241
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,248
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,228
"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,235
Forest area (% of land area),AG.LND.FRST.ZS,256
Forest area (sq. km),AG.LND.FRST.K2,257
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,233
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,218
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,238
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,240
GDP (constant LCU),NY.GDP.MKTP.KN,205
GDP (current LCU),NY.GDP.MKTP.CN,207
GDP (current US$),NY.GDP.MKTP.CD,252
GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,243
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,205
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,251
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,243
GDP per capita (constant LCU),NY.GDP.PCAP.KN,205
GDP per capita (current LCU),NY.GDP.PCAP.CN,207
GDP per capita (current US$),NY.GDP.PCAP.CD,252
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,251
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,238
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,238
GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,219
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,210
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,210
"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,238
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,238
GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),ER.BDV.TOTL.XQ,207
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,237
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,211
General government final consumption expenditure (constant 2010 US$),NE.CON.GOVT.KD,220
General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,169
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,191
General government final consumption expenditure (current US$),NE.CON.GOVT.CD,235
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,162
GINI index (World Bank estimate),SI.POV.GINI,158
GNI (constant 2010 US$),NY.GNP.MKTP.KD,238
GNI (constant LCU),NY.GNP.MKTP.KN,174
GNI (current LCU),NY.GNP.MKTP.CN,206
GNI (current US$),NY.GNP.MKTP.CD,251
GNI growth (annual %),NY.GNP.MKTP.KD.ZG,213
GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,238
GNI per capita (constant LCU),NY.GNP.PCAP.KN,174
GNI per capita (current LCU),NY.GNP.PCAP.CN,206
GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,213
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,248
"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,223
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,235
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,248
"GNI, PPP (constant 2011 international $)",NY.GNP.MKTP.PP.KD,223
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,235
Goods and services expense (% of expense),GC.XPN.GSRV.ZS,196
Goods and services expense (current LCU),GC.XPN.GSRV.CN,152
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,235
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,238
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,236
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,189
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,176
Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,182
Grants and other revenue (% of revenue),GC.REV.GOTR.ZS,197
Grants and other revenue (current LCU),GC.REV.GOTR.CN,153
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,166
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,237
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,214
Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,222
Gross capital formation (constant LCU),NE.GDI.TOTL.KN,171
Gross capital formation (current LCU),NE.GDI.TOTL.CN,191
Gross capital formation (current US$),NE.GDI.TOTL.CD,233
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,174
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,237
Gross domestic savings (current LCU),NY.GDS.TOTL.CN,191
Gross domestic savings (current US$),NY.GDS.TOTL.CD,233
"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,240
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,238
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,234
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,234
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,239
"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,236
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,232
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,207
Gross fixed capital formation (constant 2010 US$),NE.GDI.FTOT.KD,214
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,166
Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,188
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,229
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,148
"Gross fixed capital formation, private sector (current LCU)",NE.GDI.FPRV.CN,128
"Gross intake ratio to Grade 1 of primary education, both sexes (%)",SE.PRM.GINT.ZS,234
"Gross intake ratio to Grade 1 of primary education, female (%)",SE.PRM.GINT.FE.ZS,232
"Gross intake ratio to Grade 1 of primary education, male (%)",SE.PRM.GINT.MA.ZS,232
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,191
Gross national expenditure (constant 2010 US$),NE.DAB.TOTL.KD,230
Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,174
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,194
Gross national expenditure (current US$),NE.DAB.TOTL.CD,239
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,174
Gross savings (% of GDP),NY.GNS.ICTR.ZS,227
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,227
Gross savings (current LCU),NY.GNS.ICTR.CN,181
Gross savings (current US$),NY.GNS.ICTR.CD,181
Gross value added at factor cost (constant 2010 US$),NY.GDP.FCST.KD,196
Gross value added at factor cost (constant LCU),NY.GDP.FCST.KN,169
Gross value added at factor cost (current LCU),NY.GDP.FCST.CN,179
Gross value added at factor cost (current US$),NY.GDP.FCST.CD,209
Health expenditure per capita (current US$),SH.XPD.PCAP,236
"Health expenditure per capita, PPP (constant 2011 international $)",SH.XPD.PCAP.PP.KD,236
"Health expenditure, private (% of GDP)",SH.XPD.PRIV.ZS,236
"Health expenditure, public (% of GDP)",SH.XPD.PUBL.ZS,236
"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,222
"Health expenditure, public (% of total health expenditure)",SH.XPD.PUBL,236
"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,236
HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,163
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,227
High-technology exports (current US$),TX.VAL.TECH.CD,225
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,245
Household final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,210
Household final consumption expenditure (constant 2010 US$),NE.CON.PRVT.KD,219
Household final consumption expenditure (constant LCU),NE.CON.PRVT.KN,167
Household final consumption expenditure (current LCU),NE.CON.PRVT.CN,189
Household final consumption expenditure (current US$),NE.CON.PRVT.CD,232
Household final consumption expenditure per capita (constant 2010 US$),NE.CON.PRVT.PC.KD,219
Household final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,199
"Household final consumption expenditure, etc. (% of GDP)",NE.CON.PETC.ZS,236
"Household final consumption expenditure, etc. (annual % growth)",NE.CON.PETC.KD.ZG,213
"Household final consumption expenditure, etc. (constant 2010 US$)",NE.CON.PETC.KD,220
"Household final consumption expenditure, etc. (constant LCU)",NE.CON.PETC.KN,170
"Household final consumption expenditure, etc. (current LCU)",NE.CON.PETC.CN,190
"Household final consumption expenditure, etc. (current US$)",NE.CON.PETC.CD,233
"Household final consumption expenditure, PPP (constant 2011 international $)",NE.CON.PRVT.PP.KD,216
"Household final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,226
"IBRD loans and IDA credits (DOD, current US$)",DT.DOD.MWBG.CD,135
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,221
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,228
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,214
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,221
IDA grants (current US$),DT.DIS.IDAG.CD,132
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,125
"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD,132
"IMF charges (INT, current US$)",DT.INT.DIMF.CD,132
"IMF purchases (DIS, current US$)",DT.DIS.DIMF.CD,132
"IMF repurchases (AMT, current US$)",DT.AMT.DIMF.CD,132
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,132
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,238
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,238
Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,203
Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,203
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,240
Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,215
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,237
Imports of goods and services (constant 2010 US$),NE.IMP.GNFS.KD,230
Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,174
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,194
Imports of goods and services (current US$),NE.IMP.GNFS.CD,239
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,237
Improved sanitation facilities (% of population with access),SH.STA.ACSN,248
"Improved sanitation facilities, rural (% of rural population with access)",SH.STA.ACSN.RU,245
"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,248
Improved water source (% of population with access),SH.H2O.SAFE.ZS,249
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,245
"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,249
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,229
Income share held by fourth 20%,SI.DST.04TH.20,157
Income share held by highest 10%,SI.DST.10TH.10,157
Income share held by highest 20%,SI.DST.05TH.20,157
Income share held by lowest 10%,SI.DST.FRST.10,157
Income share held by lowest 20%,SI.DST.FRST.20,157
Income share held by second 20%,SI.DST.02ND.20,157
Income share held by third 20%,SI.DST.03RD.20,157
"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,236
"Industry, value added (annual % growth)",NV.IND.TOTL.KD.ZG,229
"Industry, value added (constant 2010 US$)",NV.IND.TOTL.KD,226
"Industry, value added (constant LCU)",NV.IND.TOTL.KN,185
"Industry, value added (current LCU)",NV.IND.TOTL.CN,194
"Industry, value added (current US$)",NV.IND.TOTL.CD,236
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,223
"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,251
Informal employment (% of total non-agricultural employment),SL.ISV.IFRM.ZS,45
"Informal employment, female (% of total non-agricultural employment)",SL.ISV.IFRM.FE.ZS,44
"Informal employment, male (% of total non-agricultural employment)",SL.ISV.IFRM.MA.ZS,44
Informal payments to public officials (% of firms),IC.FRM.CORR.ZS,185
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,230
Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,237
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,230
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,237
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,254
"Interest arrears, long-term DOD (US$)",DT.IXA.DPPG.CD,132
"Interest arrears, official creditors (current US$)",DT.IXA.OFFT.CD,132
"Interest arrears, private creditors (current US$)",DT.IXA.PRVT.CD,132
Interest forgiven (current US$),DT.IXF.DPPG.CD,132
Interest payments (% of expense),GC.XPN.INTP.ZS,195
Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,196
Interest payments (current LCU),GC.XPN.INTP.CN,152
"Interest payments on external debt (% of exports of goods, services and primary income)",DT.INT.DECT.EX.ZS,130
Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,132
"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,132
"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,132
"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,132
"Interest payments on external debt, short-term (INT, current US$)",DT.INT.DSTC.CD,132
"Interest payments on external debt, total (INT, current US$)",DT.INT.DECT.CD,132
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,217
Interest rescheduled (capitalized) (current US$),DT.IXR.DPPG.CD,132
"Interest rescheduled, official (current US$)",DT.IXR.OFFT.CD,132
"Interest rescheduled, private (current US$)",DT.IXR.PRVT.CD,131
"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,202
"Internally displaced persons (number, low estimate)",VC.IDP.TOTL.LE,48
International migrant stock (% of population),SM.POP.TOTL.ZS,261
"International migrant stock, total",SM.POP.TOTL,261
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,231
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,240
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,211
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,231
"International tourism, number of arrivals",ST.INT.ARVL,249
"International tourism, number of departures",ST.INT.DPRT,157
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,232
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,244
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,197
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,231
Internationally-recognized quality certification (% of firms),IC.FRM.ISOC.ZS,187
Internet users (per 100 people),IT.NET.USER.P2,255
Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,131
Investment in telecoms with private participation (current US$),IE.PPI.TELE.CD,168
Investment in transport with private participation (current US$),IE.PPI.TRAN.CD,106
Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,76
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,232
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,218
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,232
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,218
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,232
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,218
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,232
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,232
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,225
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,232
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,232
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,225
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,232
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,232
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,238
Labor force with primary education (% of total),SL.TLF.PRIM.ZS,148
"Labor force with primary education, female (% of female labor force)",SL.TLF.PRIM.FE.ZS,143
"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,143
Labor force with secondary education (% of total),SL.TLF.SECO.ZS,148
"Labor force with secondary education, female (% of female labor force)",SL.TLF.SECO.FE.ZS,144
"Labor force with secondary education, male (% of male labor force)",SL.TLF.SECO.MA.ZS,144
Labor force with tertiary education (% of total),SL.TLF.TERT.ZS,148
"Labor force with tertiary education, female (% of female labor force)",SL.TLF.TERT.FE.ZS,144
"Labor force with tertiary education, male (% of male labor force)",SL.TLF.TERT.MA.ZS,144
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,232
"Labor force, total",SL.TLF.TOTL.IN,232
Labor tax and contributions (% of commercial profits),IC.TAX.LABR.CP.ZS,223
Land area (sq. km),AG.LND.TOTL.K2,262
Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,223
Land under cereal production (hectares),AG.LND.CREL.HA,227
Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),SG.LAW.EQRM.WK,188
Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),SG.LAW.NODC.HR,188
Law mandates paid or unpaid maternity leave (1=yes; 0=no),SG.LAW.LEVE.PU,188
Law prohibits or invalidates child or early marriage (1=yes; 0=no),SG.LAW.CHMR,187
"Lead time to export, median case (days)",LP.EXP.DURS.MD,186
"Lead time to import, median case (days)",LP.IMP.DURS.MD,188
Legislation exists on domestic violence (1=yes; 0=no),SG.LEG.DVAW,188
Lending interest rate (%),FR.INR.LEND,176
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,253
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,253
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,253
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,229
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,229
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,157
"Listed domestic companies, total",CM.MKT.LDOM.NO,161
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,204
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,204
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,165
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,202
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,202
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,247
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),LP.LPI.TRAC.XQ,207
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),LP.LPI.LOGS.XQ,207
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,211
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,211
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ,207
Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,207
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,207
Long-term unemployment (% of total unemployment),SL.UEM.LTRM.ZS,133
"Long-term unemployment, female (% of female unemployment)",SL.UEM.LTRM.FE.ZS,120
